"","SiteID","TreeName","Species","Maturity","EstYear","StudyArea","Elev","Vline","bins"
"1606","WIL","WE2202","PIEN","SAP",1977,"JNP",-25,1960,1975
"1607","WIL","WE2203","PIEN","SAP",1970,"JNP",-25,1960,1970
"1608","WIL","WE2206","PIEN","SAP",1968,"JNP",-25,1960,1965
"1609","WIL","WE2304","PIEN","MAT",1906,"JNP",-25,1960,1905
"1610","WIL","WE2401","PIEN","SAP",1963,"JNP",-25,1960,1960
"1611","WIL","WE2403","PIEN","SAP",1974,"JNP",-25,1960,1970
"1612","WIL","WE2405","PIEN","SAP",1980,"JNP",-25,1960,1980
"1613","WIL","WE2406","PIEN","SAP",1975,"JNP",-25,1960,1975
"1614","WIL","WE3301","PIEN","MAT",1909,"JNP",-25,1960,1905
"1615","WIL","WE3302","PIEN","SAP",1960,"JNP",-25,1960,1960
"1616","WIL","WE3305","PIEN","SAP",1959,"JNP",-25,1960,1955
"1617","WIL","WE3401","PIEN","MAT",1899,"JNP",-25,1960,1895
"1618","WIL","WE4202","PIEN","SAP",1968,"JNP",-25,1960,1965
"1619","WIL","WE4203","PIEN","SAP",1959,"JNP",-25,1960,1955
"1620","WIL","WF1301","PIEN","MAT",1862,"JNP",0,1960,1860
"1621","WIL","WF2301","PIEN","SAP",1924,"JNP",0,1960,1920
"1622","WIL","WF2303","PIEN","SAP",1941,"JNP",0,1960,1940
"1623","WIL","WG6303","PIEN","SAP",1925,"JNP",25,1960,1925
"1624","WIL","WH3501","PIEN","MAT",1889,"JNP",50,1960,1885
"1625","WIL","WH4101","PIEN","MAT",1903,"JNP",50,1960,1900
"1626","WIL","WH4203","PIEN","MAT",1882,"JNP",50,1960,1880
"1627","WIL","WH4204","PIEN","MAT",1837,"JNP",50,1960,1835
"1628","WIL","WH4207","PIEN","MAT",1806,"JNP",50,1960,1805
"1629","WIL","WH5201","PIEN","MAT",1807,"JNP",50,1960,1805
"1630","WIL","WH5205","PIEN","MAT",1882,"JNP",50,1960,1880
"1631","WIL","WH5207","PIEN","SAP",1898,"JNP",50,1960,1895
"1632","WIL","WH5209","PIEN","MAT",1921,"JNP",50,1960,1920
"1633","WIL","WH5401","PIEN","SAP",1964,"JNP",50,1960,1960
"1634","WIL","WH5403","PIEN","SAP",1934,"JNP",50,1960,1930
"1635","WIL","WI1302","PIEN","SAP",1962,"JNP",75,1960,1960
"1636","WIL","WI4301","PIEN","MAT",1943,"JNP",75,1960,1940
"1637","WIL","WI4302","PIEN","SAP",1936,"JNP",75,1960,1935
"1638","WIL","WI4304","PIEN","SAP",1811,"JNP",75,1960,1810
"1639","WIL","WI4307","PIEN","SAP",1855,"JNP",75,1960,1855
"1640","WIL","WI4309","PIEN","MAT",1865,"JNP",75,1960,1865
"1641","WIL","WI5301","PIEN","SAP",1965,"JNP",75,1960,1965
"1642","WIL","WI5302","PIEN","SAP",1966,"JNP",75,1960,1965
"1643","WIL","WI6401","PIEN","MAT",1892,"JNP",75,1960,1890
"1644","WIL","WJ2501","PIEN","SAP",1936,"JNP",100,1960,1935
"1645","WIL","WJ3502","PIEN","SAP",1918,"JNP",100,1960,1915
"1646","WIL","WJ3201","PIEN","SAP",1903,"JNP",100,1960,1900
"1647","WIL","WK6401","PIEN","SAP",1723,"JNP",125,1960,1720
"1648","WIL","WK6402","PIEN","SAP",1703,"JNP",125,1960,1700
"1649","WIL","WC5205","PIEN","MAT",1920,"JNP",-75,1960,1920
"1650","WIL","WH4202","PIEN","MAT",1796,"JNP",50,1960,1795
"1651","WIL","WA3301","PIEN","MAT",1943,"JNP",-125,1960,1940
"1652","WIL","WA3303","PIEN","SAP",1951,"JNP",-125,1960,1950
"1653","WIL","WA3306","PIEN","SAP",1919,"JNP",-125,1960,1915
"1654","WIL","WC1303","PIEN","SAP",1959,"JNP",-75,1960,1955
"1655","WIL","WC1304","PIEN","MAT",1968,"JNP",-75,1960,1965
"1656","WIL","WC1306","PIEN","SAP",1970,"JNP",-75,1960,1970
"1657","WIL","WC1308","PIEN","SAP",1948,"JNP",-75,1960,1945
"1658","WIL","WC5201","PIEN","SAP",1922,"JNP",-75,1960,1920
"1659","WIL","WC5203","PIEN","SAP",1919,"JNP",-75,1960,1915
"1660","WIL","WC5206","PIEN","SAP",1942,"JNP",-75,1960,1940
"1661","WIL","WC5208","PIEN","MAT",1904,"JNP",-75,1960,1900
"1662","WIL","WC5302","PIEN","SAP",1953,"JNP",-75,1960,1950
"1663","WIL","WD4401","PIEN","SAP",1929,"JNP",-50,1960,1925
"1664","WIL","WF2302","PIEN","MAT",1925,"JNP",0,1960,1925
"1665","WIL","WF6401","PIEN","SAP",1954,"JNP",0,1960,1950
"1666","WIL","WF6405","PIEN","SAP",1958,"JNP",0,1960,1955
"1667","WIL","WG6304","PIEN","SAP",1928,"JNP",25,1960,1925
"1668","WIL","WG6305","PIEN","SAP",1945,"JNP",25,1960,1945
"1669","WIL","WG6306","PIEN","SAP",1975,"JNP",25,1960,1975
"1670","WIL","WH2501","PIEN","SAP",1926,"JNP",50,1960,1925
"1671","WIL","WH2503","PIEN","MAT",1880,"JNP",50,1960,1880
"1672","WIL","WH2505","PIEN","SAP",1949,"JNP",50,1960,1945
"1673","WIL","WH2506","PIEN","SAP",1957,"JNP",50,1960,1955
"1674","WIL","WH2508","PIEN","SAP",1976,"JNP",50,1960,1975
"1675","WIL","WH4103","PIEN","SAP",1899,"JNP",50,1960,1895
"1676","WIL","WH4105","PIEN","SAP",1836,"JNP",50,1960,1835
"1677","WIL","WK4205","PIAL","SAP",1960,"JNP",125,1960,1960
"1678","WIL","WK4202","PIAL","SAP",1971,"JNP",125,1960,1970
"1679","WIL","WK4203","PIAL","SAP",1948,"JNP",125,1960,1945
"1680","WIL","WA1102","ABLA","MAT",1938,"JNP",-125,1960,1935
"1681","WIL","WA1101","PIEN","MAT",1927,"JNP",-125,1960,1925
"1682","WIL","WC1502","PIEN","SAP",1956,"JNP",-75,1960,1955
"1683","WIL","WJ3501","PIEN","MAT",1833,"JNP",100,1960,1830
"1684","WIL","WJ3503","PIEN","SAP",1853,"JNP",100,1960,1850
"1685","WIL","WJ4201","PIEN","MAT",1887,"JNP",100,1960,1885
"1686","WIL","WI3307","ABLA","SAP",1829,"JNP",75,1960,1825
"1687","WIL","WA3402","PIEN","MAT",1792,"JNP",-125,1960,1790
"1688","WIL","WJ3504","PIEN","SAP",1886,"JNP",100,1960,1885
"1689","WIL","WK3102","PIEN","SAP",1919,"JNP",125,1960,1915
"1690","WIL","WC1305","PIEN","SAP",1937,"JNP",-75,1960,1935
"1691","WIL","WA3503","PIEN","MAT",1887,"JNP",-125,1960,1885
"1692","WIL","WB6301","PIEN","MAT",1823,"JNP",-100,1960,1820
"1693","WIL","WB6402","PIEN","MAT",1862,"JNP",-100,1960,1860
"1694","WIL","WB6403","PIEN","MAT",1875,"JNP",-100,1960,1875
"1695","WIL","WB6404","PIEN","MAT",1859,"JNP",-100,1960,1855
"1696","WIL","WE2302","PIEN","MAT",1924,"JNP",-25,1960,1920
"1697","WIL","WE2303","PIEN","MAT",1924,"JNP",-25,1960,1920
"1698","WIL","WH4205","PIEN","MAT",1849,"JNP",50,1960,1845
"1699","WIL","WH5202","PIEN","MAT",1868,"JNP",50,1960,1865
"1700","WIL","WI6402","PIEN","MAT",1855,"JNP",75,1960,1855
"1701","WIL","WC1307","PIEN","SAP",1934,"JNP",-75,1960,1930
"1702","WIL","WA6101","ABLA","SEE",1976,"JNP",-125,1960,1975
"1703","WIL","WA6102","ABLA","SEE",1979,"JNP",-125,1960,1975
"1704","WIL","WA6103","ABLA","SEE",1973,"JNP",-125,1960,1970
"1705","WIL","WA6104","ABLA","SEE",1981,"JNP",-125,1960,1980
"1706","WIL","WA6105","ABLA","SEE",1971,"JNP",-125,1960,1970
"1707","WIL","WA6106","ABLA","SEE",1975,"JNP",-125,1960,1975
"1708","WIL","WA6107","ABLA","SEE",1961,"JNP",-125,1960,1960
"1709","WIL","WA6108","ABLA","SEE",1974,"JNP",-125,1960,1970
"1710","WIL","WA6109","ABLA","SEE",1974,"JNP",-125,1960,1970
"1711","WIL","WA6110","ABLA","SEE",1973,"JNP",-125,1960,1970
"1712","WIL","WA6111","ABLA","SEE",1973,"JNP",-125,1960,1970
"1713","WIL","WA6112","ABLA","SEE",1979,"JNP",-125,1960,1975
"1714","WIL","WA6113","ABLA","SEE",1973,"JNP",-125,1960,1970
"1715","WIL","WA6114","ABLA","SEE",1969,"JNP",-125,1960,1965
"1716","WIL","WA6115","ABLA","SEE",1967,"JNP",-125,1960,1965
"1717","WIL","WA6116","ABLA","SEE",1974,"JNP",-125,1960,1970
"1718","WIL","WA6117","ABLA","SEE",1978,"JNP",-125,1960,1975
"1719","WIL","WA6118","ABLA","SEE",1971,"JNP",-125,1960,1970
"1720","WIL","WA6119","ABLA","SEE",1972,"JNP",-125,1960,1970
"1721","WIL","WA6120","ABLA","SEE",1970,"JNP",-125,1960,1970
"1722","WIL","WA6121","ABLA","SEE",1974,"JNP",-125,1960,1970
"1723","WIL","WA6122","ABLA","SEE",1972,"JNP",-125,1960,1970
"1724","WIL","WA6123","ABLA","SEE",1978,"JNP",-125,1960,1975
"1725","WIL","WA6124","ABLA","SEE",1975,"JNP",-125,1960,1975
"1726","WIL","WA6125","ABLA","SEE",1966,"JNP",-125,1960,1965
"1727","WIL","WA6126","ABLA","SEE",1968,"JNP",-125,1960,1965
"1728","WIL","WA6127","ABLA","SEE",1972,"JNP",-125,1960,1970
"1729","WIL","WA6128","ABLA","SEE",1970,"JNP",-125,1960,1970
"1730","WIL","WA6129","ABLA","SEE",1972,"JNP",-125,1960,1970
"1731","WIL","WA6130","ABLA","SEE",1975,"JNP",-125,1960,1975
"1732","WIL","WA6131","ABLA","SEE",1969,"JNP",-125,1960,1965
"1733","WIL","WA6132","ABLA","SEE",1976,"JNP",-125,1960,1975
"1734","WIL","WA6133","ABLA","SEE",1971,"JNP",-125,1960,1970
"1735","WIL","WA6134","ABLA","SEE",1969,"JNP",-125,1960,1965
"1736","WIL","WA6135","ABLA","SEE",1968,"JNP",-125,1960,1965
"1737","WIL","WA6136","ABLA","SEE",1977,"JNP",-125,1960,1975
"1738","WIL","WA6137","ABLA","SEE",1968,"JNP",-125,1960,1965
"1739","WIL","WA6138","ABLA","SEE",1964,"JNP",-125,1960,1960
"1740","WIL","WA6139","ABLA","SEE",1963,"JNP",-125,1960,1960
"1741","WIL","WA6140","ABLA","SEE",1977,"JNP",-125,1960,1975
"1742","WIL","WA6141","ABLA","SEE",1968,"JNP",-125,1960,1965
"1743","WIL","WA6142","ABLA","SEE",1970,"JNP",-125,1960,1970
"1744","WIL","WA6143","ABLA","SEE",1975,"JNP",-125,1960,1975
"1745","WIL","WA6144","ABLA","SEE",1973,"JNP",-125,1960,1970
"1746","WIL","WA6145","ABLA","SEE",1957,"JNP",-125,1960,1955
"1747","WIL","WA6146","ABLA","SEE",1962,"JNP",-125,1960,1960
"1748","WIL","WA6147","ABLA","SEE",1957,"JNP",-125,1960,1955
"1749","WIL","WA6148","ABLA","SEE",1968,"JNP",-125,1960,1965
"1750","WIL","WA6149","ABLA","SEE",1967,"JNP",-125,1960,1965
"1751","WIL","WA6150","ABLA","SEE",1967,"JNP",-125,1960,1965
"1752","WIL","WA6151","ABLA","SEE",1962,"JNP",-125,1960,1960
"1753","WIL","WA6152","ABLA","SEE",1968,"JNP",-125,1960,1965
