,SiteID,TreeName,Species,Maturity,EstYear,StudyArea,Elev.x,Elev.y
199,FTA,F1_628,LALY,SAP,1987,KC,25,2328.4
200,FTA,F1_629,LALY,SAP,1990,KC,25,2328.4
201,FTA,F1_630,LALY,SEE,1992,KC,25,2328.4
202,FTA,F1_631,ABLA,SEE,1994,KC,25,2328.4
203,FTA,F1_632,PIEN,SEE,1997,KC,25,2328.4
204,FTA,F1_633,ABLA,SEE,1995,KC,25,2328.4
205,FTA,F1_634,LALY,SAP,1976,KC,25,2328.4
206,FTA,F1_635,LALY,SAP,1984,KC,25,2328.4
207,FTA,F1_636,PIEN,SEE,2000,KC,25,2328.4
208,FTA,F2_458,ABLA,SEE,1977,KC,25,2328.4
209,FTA,F2_459,LALY,SEE,1989,KC,25,2328.4
210,FTA,F2_460,PIEN,SEE,1987,KC,25,2328.4
211,FTA,F2_461,PIEN,SEE,2000,KC,25,2328.4
212,FTA,F2_462,LALY,SEE,1993,KC,25,2328.4
213,FTA,F2_463,PIEN,SEE,1998,KC,25,2328.4
214,FTA,F2_464,ABLA,SEE,1994,KC,25,2328.4
215,FTA,F2_465,LALY,SEE,1994,KC,25,2328.4
216,FTA,F2_545,PIEN,SAP,1983,KC,25,2328.4
217,FTA,F3_011,ABLA,SAP,1973,KC,25,2328.4
218,FTA,F3_498,ABLA,SEE,1970,KC,25,2328.4
219,FTA,G1_012,ABLA,SAP,1974,KC,50,2340.2
220,FTA,G1_613,LALY,SEE,1981,KC,50,2340.2
221,FTA,G1_614,ABLA,SEE,1980,KC,50,2340.2
222,FTA,G1_615,ABLA,SEE,1985,KC,50,2340.2
223,FTA,G2_003,ABLA,KRU,1985,KC,50,2340.2
224,FTA,G2_004,ABLA,SAP,1977,KC,50,2340.2
225,FTA,G2_010,ABLA,SAP,1971,KC,50,2340.2
226,FTA,G2_278,LALY,KRU,1981,KC,50,2340.2
227,FTA,G2_279,ABLA,SEE,1979,KC,50,2340.2
228,FTA,G2_280,ABLA,SEE,1970,KC,50,2340.2
229,FTA,G2_281,PIEN,SEE,1986,KC,50,2340.2
230,FTA,G2_282,LALY,SEE,1987,KC,50,2340.2
231,FTA,G2_284,PIEN,SEE,1996,KC,50,2340.2
232,FTA,G2_285,LALY,SEE,1994,KC,50,2340.2
233,FTA,G2_286,ABLA,SEE,1963,KC,50,2340.2
234,FTA,G2_499,LALY,SAP,1973,KC,50,2340.2
235,FTA,G2_500,ABLA,SEE,1981,KC,50,2340.2
236,FTA,G2_501,ABLA,SEE,1979,KC,50,2340.2
237,FTA,G2_502,ABLA,SEE,1980,KC,50,2340.2
238,FTA,G3_472,ABLA,SEE,1976,KC,50,2340.2
239,FTA,G3_473,LALY,SEE,1986,KC,50,2340.2
240,FTA,G3_474,LALY,KRU,1946,KC,50,2340.2
241,FTA,G3_475,ABLA,KRU,1986,KC,50,2340.2
242,FTA,G3_476,ABLA,SEE,1989,KC,50,2340.2
243,FTA,G3_548,ABLA,SEE,1960,KC,50,2340.2
244,FTA,H2_246,PIEN,SEE,1978,KC,100,2364
245,FTA,H2_247,PIEN,SEE,2001,KC,100,2364
246,FTA,H3_044,ABLA,SEE,1985,KC,100,2364
247,FTA,H3_544,ABLA,SEE,1986,KC,100,2364
248,FTA,H3_545,ABLA,SEE,2000,KC,100,2364
249,FTB,A1_311,ABLA,MAT,1934,KC,-100,2256.6
250,FTB,A1_312,LALY,SAP,1940,KC,-100,2256.6
251,FTB,A1_313,ABLA,SAP,1959,KC,-100,2256.6
252,FTB,A1_314,ABLA,MAT,1900,KC,-100,2256.6
253,FTB,A1_315,LALY,SAP,1945,KC,-100,2256.6
254,FTB,A1_316,LALY,SAP,1938,KC,-100,2256.6
255,FTB,A1_317,ABLA,MAT,1923,KC,-100,2256.6
256,FTB,A1_318,ABLA,MAT,1932,KC,-100,2256.6
257,FTB,A1_319,ABLA,SAP,1960,KC,-100,2256.6
258,FTB,A1_320,ABLA,MAT,1903,KC,-100,2256.6
259,FTB,A1_321,ABLA,SAP,1957,KC,-100,2256.6
260,FTB,A1_329,LALY,SEE,2000,KC,-100,2256.6
261,FTB,A1_332,ABLA,SEE,1983,KC,-100,2256.6
262,FTB,A1_333,ABLA,SEE,1973,KC,-100,2256.6
263,FTB,A1_334,ABLA,MAT,1929,KC,-100,2256.6
264,FTB,A1_334,ABLA,SEE,1993,KC,-100,2256.6
265,FTB,A1_335,ABLA,MAT,1928,KC,-100,2256.6
266,FTB,A2_336,ABLA,MAT,1866,KC,-100,2256.6
267,FTB,A2_337,ABLA,MAT,1886,KC,-100,2256.6
268,FTB,A2_339,ABLA,MAT,1650,KC,-100,2256.6
269,FTB,A2_340,ABLA,SAP,1978,KC,-100,2256.6
270,FTB,A2_341,ABLA,SAP,1920,KC,-100,2256.6
271,FTB,A2_342,ABLA,MAT,1912,KC,-100,2256.6
272,FTB,A2_343,ABLA,MAT,1880,KC,-100,2256.6
273,FTB,A2_344,ABLA,MAT,1869,KC,-100,2256.6
274,FTB,A2_345,ABLA,MAT,1917,KC,-100,2256.6
275,FTB,A2_346,ABLA,MAT,1928,KC,-100,2256.6
276,FTB,A2_347,ABLA,MAT,1749,KC,-100,2256.6
277,FTB,A2_366,LALY,SEE,1986,KC,-100,2256.6
278,FTB,A2_367,LALY,SAP,1947,KC,-100,2256.6
279,FTB,A2_368,LALY,SEE,1989,KC,-100,2256.6
280,FTB,A2_369,ABLA,SEE,1968,KC,-100,2256.6
281,FTB,A2_370,ABLA,SEE,1970,KC,-100,2256.6
282,FTB,A2_371,ABLA,SEE,1961,KC,-100,2256.6
283,FTB,A2_372,ABLA,SAP,1935,KC,-100,2256.6
284,FTB,A3_267,LALY,MAT,1914,KC,-100,2256.6
285,FTB,A3_268,LALY,SAP,1884,KC,-100,2256.6
286,FTB,A3_269,ABLA,SAP,1943,KC,-100,2256.6
287,FTB,A3_270,LALY,MAT,1915,KC,-100,2256.6
288,FTB,A3_271,ABLA,MAT,1935,KC,-100,2256.6
289,FTB,A3_272,LALY,SAP,1936,KC,-100,2256.6
290,FTB,A3_273,LALY,MAT,1903,KC,-100,2256.6
291,FTB,A3_276,ABLA,MAT,1912,KC,-100,2256.6
292,FTB,A3_277,ABLA,SAP,1948,KC,-100,2256.6
293,FTB,A3_278,ABLA,MAT,1923,KC,-100,2256.6
294,FTB,A3_279,ABLA,MAT,1934,KC,-100,2256.6
295,FTB,A3_280,ABLA,MAT,1923,KC,-100,2256.6
296,FTB,A3_281,LALY,MAT,1880,KC,-100,2256.6
297,FTB,A3_282,LALY,MAT,1892,KC,-100,2256.6
298,FTB,A3_338,LALY,MAT,1913,KC,-100,2256.6
299,FTB,A3_441,ABLA,SEE,1991,KC,-100,2256.6
300,FTB,A3_442,ABLA,SAP,1958,KC,-100,2256.6
301,FTB,A3_443,ABLA,SEE,1970,KC,-100,2256.6
302,FTB,A3_444,ABLA,SEE,1990,KC,-100,2256.6
303,FTB,B1_293,LALY,SAP,1938,KC,-50,2270
304,FTB,B1_294,LALY,SEE,1984,KC,-50,2270
305,FTB,B1_295,ABLA,SEE,1982,KC,-50,2270
306,FTB,B1_296,ABLA,SAP,1973,KC,-50,2270
307,FTB,B1_297,LALY,SAP,1954,KC,-50,2270
308,FTB,B1_298,LALY,SEE,1973,KC,-50,2270
309,FTB,B1_299,ABLA,SEE,1980,KC,-50,2270
310,FTB,B1_300,ABLA,SEE,1976,KC,-50,2270
311,FTB,B1_301,LALY,SEE,1977,KC,-50,2270
312,FTB,B1_322,ABLA,MAT,1908,KC,-50,2270
313,FTB,B1_323,ABLA,SAP,1902,KC,-50,2270
314,FTB,B1_324,ABLA,MAT,1924,KC,-50,2270
315,FTB,B1_325,ABLA,MAT,1941,KC,-50,2270
316,FTB,B1_326,ABLA,MAT,1923,KC,-50,2270
317,FTB,B1_329,ABLA,MAT,1911,KC,-50,2270
318,FTB,B1_330,ABLA,MAT,1941,KC,-50,2270
319,FTB,B1_331,ABLA,MAT,1924,KC,-50,2270
320,FTB,B1_332,LALY,SAP,1931,KC,-50,2270
321,FTB,B1_333,ABLA,SAP,1922,KC,-50,2270
322,FTB,B1_355,LALY,SEE,1996,KC,-50,2270
323,FTB,B2_182,ABLA,MAT,1939,KC,-50,2270
324,FTB,B2_183,ABLA,MAT,1942,KC,-50,2270
325,FTB,B2_184,ABLA,SAP,1981,KC,-50,2270
326,FTB,B2_185,ABLA,SAP,1961,KC,-50,2270
327,FTB,B2_186,ABLA,MAT,1950,KC,-50,2270
328,FTB,B2_187,ABLA,SAP,1981,KC,-50,2270
329,FTB,B2_188,ABLA,MAT,1940,KC,-50,2270
330,FTB,B2_274,LALY,SAP,1947,KC,-50,2270
331,FTB,B2_275,ABLA,SAP,1958,KC,-50,2270
332,FTB,B2_335,LALY,SAP,1987,KC,-50,2270
333,FTB,B2_336,ABLA,SEE,1978,KC,-50,2270
334,FTB,B2_337,LALY,SEE,1991,KC,-50,2270
335,FTB,B2_338,LALY,SEE,1985,KC,-50,2270
336,FTB,B2_339,LALY,SEE,1998,KC,-50,2270
337,FTB,B2_340,ABLA,SEE,1999,KC,-50,2270
338,FTB,B2_341,ABLA,SEE,2000,KC,-50,2270
339,FTB,B3_255,ABLA,MAT,1918,KC,-50,2270
340,FTB,B3_256,ABLA,MAT,1958,KC,-50,2270
341,FTB,B3_257,ABLA,MAT,1903,KC,-50,2270
342,FTB,B3_258,ABLA,MAT,1875,KC,-50,2270
343,FTB,B3_259,LALY,MAT,1724,KC,-50,2270
344,FTB,B3_260,ABLA,SAP,1925,KC,-50,2270
345,FTB,B3_261,ABLA,MAT,1876,KC,-50,2270
346,FTB,B3_262,ABLA,SAP,1921,KC,-50,2270
347,FTB,B3_263,ABLA,MAT,1896,KC,-50,2270
348,FTB,B3_264,PIEN,SAP,1950,KC,-50,2270
349,FTB,B3_265,ABLA,MAT,1928,KC,-50,2270
350,FTB,B3_266,ABLA,SAP,1930,KC,-50,2270
351,FTB,B3_309,ABLA,MAT,1896,KC,-50,2270
352,FTB,B3_310,LALY,MAT,1919,KC,-50,2270
353,FTB,B3_453,ABLA,SEE,1982,KC,-50,2270
354,FTB,B3_454,ABLA,SEE,1978,KC,-50,2270
355,FTB,B3_455,LALY,SEE,1989,KC,-50,2270
356,FTB,B3_456,ABLA,SEE,1963,KC,-50,2270
357,FTB,B3_457,LALY,SEE,1986,KC,-50,2270
358,FTB,C1_266,LALY,SAP,1979,KC,-25,2276.6
359,FTB,C1_267,ABLA,SEE,1975,KC,-25,2276.6
360,FTB,C1_268,ABLA,KRU,1938,KC,-25,2276.6
361,FTB,C1_269,ABLA,SEE,1992,KC,-25,2276.6
362,FTB,C1_270,LALY,SEE,1991,KC,-25,2276.6
363,FTB,C1_271,LALY,SEE,1993,KC,-25,2276.6
364,FTB,C1_273,ABLA,KRU,1935,KC,-25,2276.6
365,FTB,C1_274,LALY,SAP,1959,KC,-25,2276.6
366,FTB,C1_275,LALY,SAP,1975,KC,-25,2276.6
367,FTB,C1_276,ABLA,KRU,1929,KC,-25,2276.6
368,FTB,C1_277,LALY,SEE,1989,KC,-25,2276.6
369,FTB,C2_272,ABLA,SEE,2002,KC,-25,2276.6
370,FTB,C2_297,ABLA,SAP,1925,KC,-25,2276.6
371,FTB,C2_298,LALY,MAT,1928,KC,-25,2276.6
372,FTB,C2_299,ABLA,SAP,1921,KC,-25,2276.6
373,FTB,C2_300,LALY,MAT,1922,KC,-25,2276.6
374,FTB,C2_301,LALY,MAT,1920,KC,-25,2276.6
375,FTB,C2_302,LALY,MAT,1968,KC,-25,2276.6
376,FTB,C2_303,ABLA,MAT,1947,KC,-25,2276.6
377,FTB,C2_304,ABLA,MAT,1912,KC,-25,2276.6
378,FTB,C2_305,ABLA,MAT,1829,KC,-25,2276.6
379,FTB,C2_306,ABLA,SAP,1940,KC,-25,2276.6
380,FTB,C2_307,ABLA,MAT,1935,KC,-25,2276.6
381,FTB,C2_308,ABLA,MAT,1914,KC,-25,2276.6
382,FTB,C2_382,PIEN,SAP,1964,KC,-25,2276.6
