Year,Tave_wt,Tave_sp,Tave_sm,Tave_at,PPT_wt,PPT_sp,PPT_sm,PPT_at,Tave_wt,Tave_sp,Tave_sm,Tave_at
1989,-12.8,-2.8,9.1,-0.2,258,163,298,194,-12.8,-2.8,9.1,-0.2
1990,-10.3,-1.3,9.3,0,224,319,356,182,-10.3,-1.3,9.3,0
1991,-11.2,-2.3,9.3,-1.1,244,313,337,157,-11.2,-2.3,9.3,-1.1
1992,-6.8,0.3,8.1,-1,102,238,386,299,-6.8,0.3,8.1,-1
1993,-15.3,-0.6,6.5,-1.2,192,245,455,153,-15.3,-0.6,6.5,-1.2
1994,-11.2,-0.1,9.2,-0.6,186,222,300,254,-11.2,-0.1,9.2,-0.6
1995,-11.1,-2.6,7.4,-1.1,150,256,362,270,-11.1,-2.6,7.4,-1.1
1996,-14.1,-3.7,9,-2.9,290,323,213,387,-14.1,-3.7,9,-2.9
1997,-13.4,-2.9,8.7,0.3,277,352,367,174,-13.4,-2.9,8.7,0.3
1998,-9.6,-0.7,9.9,1.2,180,350,358,202,-9.6,-0.7,9.9,1.2
1999,-9.6,-1.8,7.7,0.3,216,316,443,122,-9.6,-1.8,7.7,0.3
2000,-10.4,-2.6,7.6,-2.1,223,243,351,148,-10.4,-2.6,7.6,-2.1
2001,-13.5,-2.8,8.8,-0.1,134,177,316,189,-13.5,-2.8,8.8,-0.1
2002,-11.7,-6.8,7.9,-1.2,188,248,236,172,-11.7,-6.8,7.9,-1.2
2003,-10.3,-3.5,9.5,-1.9,131,345,300,292,-10.3,-3.5,9.5,-1.9
2004,-11.5,-1.4,8.6,-1.3,96,214,415,157,-11.5,-1.4,8.6,-1.3
2005,-10.8,-1.3,7.2,-1.1,225,120,497,293,-10.8,-1.3,7.2,-1.1
2006,-9.9,-1.8,9.3,-1.5,130,208,316,270,-9.9,-1.8,9.3,-1.5
2007,-10.6,-1.2,9.3,-1,167,352,283,187,-10.6,-1.2,9.3,-1
2008,-12,-3.2,7.9,0.1,188,257,259,165,-12,-3.2,7.9,0.1
2009,-12.8,-3.5,8.1,-0.4,215,181,319,116,-12.8,-3.5,8.1,-0.4
2010,-11.3,-1.9,7.5,-1.5,93,191,305,180,-11.3,-1.9,7.5,-1.5
2011,-14,-4.1,8.1,-0.5,169,312,259,147,-14,-4.1,8.1,-0.5
2012,-10.8,-2.3,8.6,-1,81,278,383,181,-10.8,-2.3,8.6,-1
2013,-10,-2.9,8.9,-0.9,91,262,325,188,-10,-2.9,8.9,-0.9
2014,-12.7,-3.6,9,-0.9,145,347,279,287,-12.7,-3.6,9,-0.9
2015,-9,-0.7,9.3,-0.8,145,124,246,274,-9,-0.7,9.3,-0.8
